CAT,PRICE,value,date
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.1,2019-12-06
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3,2019-12-06
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.75,2019-12-06
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.85,2019-12-06
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2019-12-06
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3,2019-12-06
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.2,2019-12-06
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.1,2019-12-06
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5,2019-12-06
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-06
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-06
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,4.9,2019-12-06
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-06
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-06
Αρνιά,ΚΑΤΩΤΕΡΗ,6.2,2019-12-09
Αρνιά,ΑΝΩΤΕΡΗ,6.8,2019-12-09
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,6.5,2019-12-09
Κατσίκια,ΚΑΤΩΤΕΡΗ,7,2019-12-09
Κατσίκια,ΑΝΩΤΕΡΗ,7.3,2019-12-09
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.2,2019-12-09
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.3,2019-12-09
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.7,2019-12-09
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-09
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.65,2019-12-09
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.85,2019-12-09
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2019-12-09
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3,2019-12-09
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.2,2019-12-09
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.1,2019-12-09
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.75,2019-12-09
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.85,2019-12-09
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2019-12-09
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3,2019-12-09
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.2,2019-12-09
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.1,2019-12-09
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-09
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-09
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-09
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-09
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-09
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-09
Αρνιά,ΚΑΤΩΤΕΡΗ,6.2,2019-12-11
Αρνιά,ΑΝΩΤΕΡΗ,6.8,2019-12-11
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,6.5,2019-12-11
Κατσίκια,ΚΑΤΩΤΕΡΗ,7,2019-12-11
Κατσίκια,ΑΝΩΤΕΡΗ,7.3,2019-12-11
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.2,2019-12-11
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.3,2019-12-11
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.7,2019-12-11
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-11
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.65,2019-12-11
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.85,2019-12-11
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2019-12-11
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3,2019-12-11
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.2,2019-12-11
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.1,2019-12-11
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.75,2019-12-11
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.85,2019-12-11
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2019-12-11
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3,2019-12-11
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.2,2019-12-11
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.1,2019-12-11
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-11
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-11
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-11
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-11
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-11
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-11
Αρνιά,ΚΑΤΩΤΕΡΗ,6,2019-12-13
Αρνιά,ΑΝΩΤΕΡΗ,6.8,2019-12-13
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,6.5,2019-12-13
Κατσίκια,ΚΑΤΩΤΕΡΗ,7.2,2019-12-13
Κατσίκια,ΑΝΩΤΕΡΗ,7.5,2019-12-13
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.3,2019-12-13
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2019-12-13
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.8,2019-12-13
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-13
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-13
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-13
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-13
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-13
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-13
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-13
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-13
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-13
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-13
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-13
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-13
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-13
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-13
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-13
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-13
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-13
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-13
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-13
Αρνιά,ΚΑΤΩΤΕΡΗ,6,2019-12-16
Αρνιά,ΑΝΩΤΕΡΗ,7,2019-12-16
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,6.8,2019-12-16
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,6,2019-12-16
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,6.5,2019-12-16
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,6.3,2019-12-16
Κατσίκια,ΚΑΤΩΤΕΡΗ,7,2019-12-16
Κατσίκια,ΑΝΩΤΕΡΗ,8,2019-12-16
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.5,2019-12-16
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2019-12-16
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.8,2019-12-16
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-16
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-16
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-16
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-16
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-16
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-16
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-16
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-16
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-16
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-16
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-16
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-16
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-16
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-16
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-16
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-16
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-16
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-16
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-16
Γαλοπούλες εγχώριες,ΚΑΤΩΤΕΡΗ,5.6,2019-12-16
Γαλοπούλες εγχώριες,ΑΝΩΤΕΡΗ,6,2019-12-16
Γαλοπούλες εγχώριες,ΕΠΙΚΡΑΤΟΥΣΑ,5.8,2019-12-16
Γαλοπούλες εξωτερικού,ΚΑΤΩΤΕΡΗ,4.1,2019-12-16
Γαλοπούλες εξωτερικού,ΑΝΩΤΕΡΗ,4.3,2019-12-16
Γαλοπούλες εξωτερικού,ΕΠΙΚΡΑΤΟΥΣΑ,4.2,2019-12-16
Χοιρίδια εγχώρια,ΚΑΤΩΤΕΡΗ,4,2019-12-16
Χοιρίδια εγχώρια,ΑΝΩΤΕΡΗ,9,2019-12-16
Χοιρίδια εγχώρια,ΕΠΙΚΡΑΤΟΥΣΑ,7.5,2019-12-16
Αρνιά,ΚΑΤΩΤΕΡΗ,6.5,2019-12-17
Αρνιά,ΑΝΩΤΕΡΗ,7,2019-12-17
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,6.8,2019-12-17
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,6,2019-12-17
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,6.5,2019-12-17
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,6.3,2019-12-17
Κατσίκια,ΚΑΤΩΤΕΡΗ,7.5,2019-12-17
Κατσίκια,ΑΝΩΤΕΡΗ,8,2019-12-17
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.8,2019-12-17
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2019-12-17
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.8,2019-12-17
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-17
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-17
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-17
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-17
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-17
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-17
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-17
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-17
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-17
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-17
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-17
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-17
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-17
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-17
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-17
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-17
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-17
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-17
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-17
Γαλοπούλες εγχώριες,ΚΑΤΩΤΕΡΗ,5.6,2019-12-17
Γαλοπούλες εγχώριες,ΑΝΩΤΕΡΗ,6,2019-12-17
Γαλοπούλες εγχώριες,ΕΠΙΚΡΑΤΟΥΣΑ,5.8,2019-12-17
Γαλοπούλες εξωτερικού,ΚΑΤΩΤΕΡΗ,4.1,2019-12-17
Γαλοπούλες εξωτερικού,ΑΝΩΤΕΡΗ,4.3,2019-12-17
Γαλοπούλες εξωτερικού,ΕΠΙΚΡΑΤΟΥΣΑ,4.2,2019-12-17
Χοιρίδια εγχώρια,ΚΑΤΩΤΕΡΗ,4,2019-12-17
Χοιρίδια εγχώρια,ΑΝΩΤΕΡΗ,9,2019-12-17
Χοιρίδια εγχώρια,ΕΠΙΚΡΑΤΟΥΣΑ,7.5,2019-12-17
Αρνιά,ΚΑΤΩΤΕΡΗ,6.5,2019-12-18
Αρνιά,ΑΝΩΤΕΡΗ,7,2019-12-18
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,6.8,2019-12-18
Κατσίκια,ΚΑΤΩΤΕΡΗ,7.5,2019-12-18
Κατσίκια,ΑΝΩΤΕΡΗ,8,2019-12-18
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.8,2019-12-18
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2019-12-18
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.8,2019-12-18
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-18
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-18
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-18
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-18
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-18
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-18
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-18
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-18
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-18
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-18
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.1,2019-12-18
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.3,2019-12-18
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2019-12-18
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-18
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-18
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-18
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-18
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-18
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-18
Γαλοπούλες εγχώριες,ΚΑΤΩΤΕΡΗ,5.8,2019-12-18
Γαλοπούλες εγχώριες,ΑΝΩΤΕΡΗ,6.2,2019-12-18
Γαλοπούλες εγχώριες,ΕΠΙΚΡΑΤΟΥΣΑ,6,2019-12-18
Γαλοπούλες εξωτερικού,ΚΑΤΩΤΕΡΗ,4.1,2019-12-18
Γαλοπούλες εξωτερικού,ΑΝΩΤΕΡΗ,4.3,2019-12-18
Γαλοπούλες εξωτερικού,ΕΠΙΚΡΑΤΟΥΣΑ,4.2,2019-12-18
Χοιρίδια εγχώρια,ΚΑΤΩΤΕΡΗ,4.5,2019-12-18
Χοιρίδια εγχώρια,ΑΝΩΤΕΡΗ,9,2019-12-18
Χοιρίδια εγχώρια,ΕΠΙΚΡΑΤΟΥΣΑ,7.5,2019-12-18
Αρνιά,ΚΑΤΩΤΕΡΗ,6.8,2019-12-19
Αρνιά,ΑΝΩΤΕΡΗ,7.2,2019-12-19
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,7,2019-12-19
Κατσίκια,ΚΑΤΩΤΕΡΗ,7.7,2019-12-19
Κατσίκια,ΑΝΩΤΕΡΗ,8,2019-12-19
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.8,2019-12-19
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2019-12-19
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.8,2019-12-19
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-19
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.9,2019-12-19
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-19
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.95,2019-12-19
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.2,2019-12-19
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.5,2019-12-19
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.4,2019-12-19
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-19
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-19
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-19
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.2,2019-12-19
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.4,2019-12-19
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.3,2019-12-19
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-19
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-19
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-19
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-19
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-19
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-19
Γαλοπούλες εγχώριες,ΚΑΤΩΤΕΡΗ,5.8,2019-12-19
Γαλοπούλες εγχώριες,ΑΝΩΤΕΡΗ,6.2,2019-12-19
Γαλοπούλες εγχώριες,ΕΠΙΚΡΑΤΟΥΣΑ,6,2019-12-19
Γαλοπούλες εξωτερικού,ΚΑΤΩΤΕΡΗ,4.1,2019-12-19
Γαλοπούλες εξωτερικού,ΑΝΩΤΕΡΗ,4.3,2019-12-19
Γαλοπούλες εξωτερικού,ΕΠΙΚΡΑΤΟΥΣΑ,4.2,2019-12-19
Χοιρίδια εγχώρια,ΚΑΤΩΤΕΡΗ,5.5,2019-12-19
Χοιρίδια εγχώρια,ΑΝΩΤΕΡΗ,9,2019-12-19
Χοιρίδια εγχώρια,ΕΠΙΚΡΑΤΟΥΣΑ,8,2019-12-19
Αρνιά,ΚΑΤΩΤΕΡΗ,6.8,2019-12-20
Αρνιά,ΑΝΩΤΕΡΗ,7.2,2019-12-20
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,7,2019-12-20
Κατσίκια,ΚΑΤΩΤΕΡΗ,7.8,2019-12-20
Κατσίκια,ΑΝΩΤΕΡΗ,8.2,2019-12-20
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7.9,2019-12-20
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2019-12-20
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.8,2019-12-20
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.6,2019-12-20
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.9,2019-12-20
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-20
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.95,2019-12-20
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.2,2019-12-20
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.5,2019-12-20
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.4,2019-12-20
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2019-12-20
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,3,2019-12-20
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2019-12-20
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.2,2019-12-20
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.4,2019-12-20
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.3,2019-12-20
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5.3,2019-12-20
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2019-12-20
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2019-12-20
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,5.2,2019-12-20
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2019-12-20
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2019-12-20
Γαλοπούλες εγχώριες,ΚΑΤΩΤΕΡΗ,6,2019-12-20
Γαλοπούλες εγχώριες,ΑΝΩΤΕΡΗ,6.6,2019-12-20
Γαλοπούλες εγχώριες,ΕΠΙΚΡΑΤΟΥΣΑ,6.3,2019-12-20
Γαλοπούλες εξωτερικού,ΚΑΤΩΤΕΡΗ,4.1,2019-12-20
Γαλοπούλες εξωτερικού,ΑΝΩΤΕΡΗ,4.3,2019-12-20
Γαλοπούλες εξωτερικού,ΕΠΙΚΡΑΤΟΥΣΑ,4.2,2019-12-20
Χοιρίδια εγχώρια,ΚΑΤΩΤΕΡΗ,5.5,2019-12-20
Χοιρίδια εγχώρια,ΑΝΩΤΕΡΗ,9,2019-12-20
